末吉, 叶う, 衰退, 良し,20010909,2021-09-08
大吉, 叶わない, 衰退, 良し,19910125,2021-09-08
凶, 叶わない, 衰退, 良し,19950707,2021-09-08
末吉, 叶わない, 衰退, 良し,20010203,2021-09-08
末吉, 叶わない, 繁盛, 悪し,19990909,2021-09-08
吉, 叶うかも, 繁盛, 良し,19880909,2021-09-08
凶, 叶う, 繁盛, 良し,20050607,2021-09-08
中吉, 叶うかも, 繁盛, 良し,19980727,2021-09-08
小吉, 叶う, 衰退, 良し,20210908,2021-09-08
中吉, 叶う, 繁盛, 悪し,20080808,2021-09-09
中吉, 叶う, 衰退, 良し,20020917,2021-09-09
小吉, 叶うかも, 繁盛, 良し,19980525,2021-09-09
吉, 叶わない, 衰退, 良し,20000218,2021-09-09
中吉, 叶わない, 繁盛, 悪し,19900730,2021-09-09
中吉, 叶わない, 繁盛, 悪し,19910525,2021-09-09
中吉, 叶うかも, 繁盛, 悪し,19870303,2021-09-09
大吉, 叶わない, 衰退, 悪し,19870909,2021-09-09
小吉, 叶う, 衰退, 良し,19910101,2021-09-10
凶, 叶う, 繁盛, 悪し,20030101,2021-09-10
中吉, 叶わない, 衰退, 悪し,20010908,2021-09-10
